#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-09-04T10:00:48 [V7.32.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-09-04T10:00:49	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/159/57&tab:{J/AJ/159/57/table9}&key:source=J/AJ/159/57/table9&HTTPPRM:&
#-source=J/AJ/159/57/table9
#-order=I
#-out=Mb/M*
#-out=Perb
#-out=ecoswb
#-out=esinwb
#-out=T0b
#-out=Mc/M*
#-out=Perc
#-out=ecoswc
#-out=esinwc
#-out=T0c
#-out=Md/M*
#-out=Perd
#-out=ecoswd
#-out=esinwd
#-out=T0d
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.4	
#INFO	-out.max=unlimited	
#
#RESOURCE=yCat_51590057
#Name: J/AJ/159/57
#Title: HST spectroscopic LCs of Kepler 51b & 51d (Libby-Roberts+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/aj/159/57	
#INFO	publisher=CDS	
#INFO	creator=Libby-Roberts J.E.	
#INFO	related_resource=bibcode:2020AJ....159...57L	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/159/57	
#INFO	publication_id=doi:10.26093/cds/vizier.51590057	
#INFO	publication_date=2022-05-11	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_AJ_159_57_table9:
#Name: J/AJ/159/57/table9
#Title: *Markov Chain Monte Carlo (MCMC) samples from our transit timing variations (TTV) analysis
#Column	Mb/M*	(D14.7)	Planet "b" to star mass ratio	[ucd=phys.mass;arith.ratio]
#Column	Perb	(D14.7)	[45.1528/45.156] Orbital period, planet "b"	[ucd=time.period]
#Column	ecoswb	(D13.6)	[-0.21/0.03] Sqrt(e_b_)Cos({omega}_b_), planet "b" (1)	[ucd=src.orbital]
#Column	esinwb	(D13.6)	[-0.3/0.05] Sqrt(e_b_)Sin({omega}_b_), planet "b" (1)	[ucd=src.orbital]
#Column	T0b	(D14.7)	[159.1/159.2] Time, first inferior conjunction, planet "b" (2)	[ucd=time.epoch]
#Column	Mc/M*	(D14.7)	Planet "c" to star mass ratio	[ucd=phys.mass;arith.ratio]
#Column	Perc	(D14.7)	[85.3/85.321] Orbital period, planet "c"	[ucd=time.period]
#Column	ecoswc	(D13.6)	[-0.173/0.235] Sqrt(e_c_)Cos({omega}_c_), planet "c" (1)	[ucd=src.orbital]
#Column	esinwc	(D13.6)	[-0.312/0.19] Sqrt(e_c_)Sin({omega}_c_), planet "c" (1)	[ucd=src.orbital]
#Column	T0c	(D14.7)	[295.309/295.332] Time, first inferior conjunction, planet "c" (2)	[ucd=time.epoch]
#Column	Md/M*	(D14.7)	Planet "d" to star mass ratio	[ucd=phys.mass;arith.ratio]
#Column	Perd	(D14.7)	[130.1819/130.188] Orbital Period, planet "d"	[ucd=time.period]
#Column	ecoswd	(D13.6)	[-0.17/0.21] Sqrt(e_d_)Cos({omega}_d_), planet "d" (1)	[ucd=src.orbital]
#Column	esinwd	(D13.6)	[-0.282/0.17] Sqrt(e_d_)Sin({omega}_d_), planet "d" (1)	[ucd=src.orbital]
#Column	T0d	(D14.7)	[212.021/212.0261] Time, first inferior conjunction, planet "d" (2)	[ucd=time.epoch]
Mb/M*|Perb|ecoswb|esinwb|T0b|Mc/M*|Perc|ecoswc|esinwc|T0c|Md/M*|Perd|ecoswd|esinwd|T0d
 4.7928704e-06| 4.5154373e+01|-8.745400e-02|-7.722300e-02| 1.5911020e+02| 1.6204556e-05| 8.5312796e+01| 6.273100e-02|-4.818800e-02| 2.9532030e+02| 1.8044331e-05| 1.3018403e+02| 3.264600e-02|-2.811400e-02| 2.1202374e+02
 8.5828044e-06| 4.5154245e+01|-9.156000e-02|-1.554530e-01| 1.5911069e+02| 1.3373008e-05| 8.5312592e+01| 2.550300e-02|-1.712000e-02| 2.9532088e+02| 1.7613563e-05| 1.3018475e+02|-5.258200e-02|-5.720000e-03| 2.1202314e+02
 4.2497878e-06| 4.5153863e+01|-1.485620e-01|-1.666240e-01| 1.5911043e+02| 1.0867801e-05| 8.5312743e+01| 6.958400e-02| 2.306500e-02| 2.9532302e+02| 1.5612694e-05| 1.3018384e+02| 1.358000e-02| 1.846200e-02| 2.1202277e+02
 3.2899516e-05| 4.5154368e+01|-9.332100e-02|-8.283500e-02| 1.5911015e+02| 1.5984261e-05| 8.5317656e+01| 6.348900e-02|-3.738200e-02| 2.9531969e+02| 1.6198570e-05| 1.3018679e+02| 2.469900e-02|-1.495100e-02| 2.1202313e+02
 9.9119736e-06| 4.5154343e+01|-5.580400e-02|-1.722760e-01| 1.5911088e+02| 1.2160745e-05| 8.5311948e+01| 8.137700e-02|-1.135800e-02| 2.9532193e+02| 2.0829521e-05| 1.3018411e+02| 3.863700e-02|-1.618700e-02| 2.1202276e+02
 1.7803778e-05| 4.5154225e+01|-2.797500e-02|-9.594400e-02| 1.5911013e+02| 1.3982136e-05| 8.5315542e+01| 1.648350e-01| 3.173400e-02| 2.9532020e+02| 1.8357093e-05| 1.3018440e+02| 1.352870e-01| 3.774900e-02| 2.1202314e+02
 2.2785948e-05| 4.5153913e+01|-4.957900e-02|-1.010380e-01| 1.5910977e+02| 1.4005765e-05| 8.5318487e+01| 1.927190e-01| 2.480200e-02| 2.9532262e+02| 1.7580095e-05| 1.3018493e+02| 1.623170e-01| 2.858100e-02| 2.1202268e+02
 1.8976905e-05| 4.5153744e+01|-5.502100e-02|-1.120700e-01| 1.5910990e+02| 1.2756599e-05| 8.5318478e+01| 2.127310e-01|-1.341400e-02| 2.9532348e+02| 1.6855736e-05| 1.3018407e+02| 1.814170e-01|-9.757000e-03| 2.1202327e+02
 1.1084098e-05| 4.5153875e+01|-3.835800e-02|-1.241390e-01| 1.5911063e+02| 1.4827328e-05| 8.5314669e+01| 1.799500e-01|-8.439800e-02| 2.9532317e+02| 1.9322045e-05| 1.3018350e+02| 1.535840e-01|-7.226600e-02| 2.1202337e+02
 1.6251422e-06| 4.5153913e+01|-4.615400e-02|-1.361370e-01| 1.5910981e+02| 1.2438794e-05| 8.5311435e+01| 1.821210e-01|-8.137000e-02| 2.9532543e+02| 2.1621939e-05| 1.3018216e+02| 1.530550e-01|-7.255400e-02| 2.1202291e+02
 1.0758448e-05| 4.5153963e+01|-1.103670e-01|-1.696790e-01| 1.5911035e+02| 1.2597073e-05| 8.5312845e+01| 4.295000e-03|-9.207800e-02| 2.9532117e+02| 2.3227252e-05| 1.3018399e+02|-3.869700e-02|-7.344500e-02| 2.1202437e+02
 1.3695856e-05| 4.5154112e+01|-1.610150e-01|-1.719200e-01| 1.5910888e+02| 1.0789257e-05| 8.5318626e+01|-2.006400e-02|-1.768820e-01| 2.9531828e+02| 9.0155910e-06| 1.3018478e+02|-4.301800e-02|-1.589410e-01| 2.1202357e+02
 9.4691195e-06| 4.5153889e+01|-1.379660e-01|-1.165430e-01| 1.5910996e+02| 1.2532709e-05| 8.5313957e+01| 6.763200e-02|-7.336700e-02| 2.9532278e+02| 1.9070493e-05| 1.3018407e+02| 2.239100e-02|-7.207300e-02| 2.1202264e+02
 5.8994442e-06| 4.5154320e+01|-7.569100e-02|-1.909960e-01| 1.5911132e+02| 1.0755336e-05| 8.5312349e+01| 5.914200e-02| 3.164900e-02| 2.9532255e+02| 1.6495264e-05| 1.3018391e+02|-3.229500e-02| 1.767000e-02| 2.1202256e+02
 3.3294165e-06| 4.5154315e+01|-1.000020e-01|-9.725900e-02| 1.5911018e+02| 1.4024969e-05| 8.5310810e+01|-1.247400e-02|-5.857000e-03| 2.9532207e+02| 2.0300566e-05| 1.3018409e+02|-5.632700e-02| 1.113500e-02| 2.1202320e+02
 1.5697112e-05| 4.5154155e+01|-1.309460e-01|-1.125520e-01| 1.5911044e+02| 1.3355095e-05| 8.5314352e+01|-8.080100e-02| 3.354200e-02| 2.9531988e+02| 1.9106763e-05| 1.3018496e+02|-9.257000e-02| 3.362000e-02| 2.1202443e+02
 1.6632690e-05| 4.5154282e+01|-9.794100e-02|-9.768800e-02| 1.5911128e+02| 1.4746478e-05| 8.5314348e+01|-1.836000e-02| 2.456500e-02| 2.9531934e+02| 1.9883731e-05| 1.3018470e+02|-5.415700e-02| 3.778300e-02| 2.1202414e+02
 5.6597050e-06| 4.5154366e+01|-6.813000e-02|-1.457610e-01| 1.5911107e+02| 1.3869507e-05| 8.5313669e+01| 8.311100e-02|-8.567600e-02| 2.9532061e+02| 1.1619287e-05| 1.3018457e+02| 5.003300e-02|-8.299400e-02| 2.1202235e+02
 2.4245842e-05| 4.5154193e+01|-8.822700e-02|-1.040620e-01| 1.5911048e+02| 1.5202253e-05| 8.5314584e+01| 5.978100e-02|-2.176100e-02| 2.9531840e+02| 2.4404954e-05| 1.3018584e+02|-3.337000e-03| 1.282400e-02| 2.1202379e+02
 1.1879946e-06| 4.5154555e+01|-6.120700e-02|-1.139620e-01| 1.5911064e+02| 1.4858534e-05| 8.5311221e+01| 1.686500e-02| 1.024950e-01| 2.9532201e+02| 1.7134914e-05| 1.3018389e+02|-1.424300e-02| 9.885300e-02| 2.1202314e+02
 7.1774585e-06| 4.5154499e+01|-4.971400e-02|-1.690510e-01| 1.5911053e+02| 1.2620701e-05| 8.5311747e+01| 2.672800e-02|-2.127400e-02| 2.9532212e+02| 2.0243501e-05| 1.3018376e+02|-5.433700e-02|-2.137000e-03| 2.1202402e+02
 6.3268996e-06| 4.5154145e+01|-8.518900e-02|-1.660320e-01| 1.5911060e+02| 1.3347478e-05| 8.5311623e+01| 6.417600e-02|-2.926300e-02| 2.9532210e+02| 2.0394127e-05| 1.3018404e+02| 7.664000e-03|-3.263400e-02| 2.1202276e+02
 2.3826046e-05| 4.5154487e+01|-7.117300e-02|-1.538190e-01| 1.5910996e+02| 1.2252288e-05| 8.5315894e+01|-5.916000e-03| 6.591000e-03| 2.9531799e+02| 1.6698715e-05| 1.3018525e+02|-6.075600e-02| 1.074900e-02| 2.1202523e+02
 7.3694697e-06| 4.5154278e+01|-7.948700e-02|-1.862610e-01| 1.5911116e+02| 1.1206071e-05| 8.5312812e+01| 6.446000e-02| 5.710000e-04| 2.9532085e+02| 1.7367715e-05| 1.3018350e+02|-2.736500e-02| 2.932000e-03| 2.1202361e+02
 1.2282358e-05| 4.5154349e+01|-1.278460e-01|-1.198590e-01| 1.5910988e+02| 1.1962715e-05| 8.5316439e+01|-4.056100e-02| 2.174400e-02| 2.9531682e+02| 1.0909984e-05| 1.3018460e+02|-7.203400e-02| 1.527300e-02| 2.1202385e+02
 1.3369308e-05| 4.5154077e+01|-1.104660e-01|-1.025700e-01| 1.5911112e+02| 1.4964223e-05| 8.5311983e+01|-5.634700e-02|-3.940500e-02| 2.9531941e+02| 2.5938193e-05| 1.3018499e+02|-7.839600e-02|-1.209000e-02| 2.1202341e+02
 1.4559471e-05| 4.5154537e+01|-8.837500e-02|-1.121050e-01| 1.5911084e+02| 1.4045431e-05| 8.5315030e+01|-4.259400e-02| 8.184400e-02| 2.9531735e+02| 1.4456767e-05| 1.3018494e+02|-6.533000e-02| 7.464000e-02| 2.1202405e+02
 1.9309965e-05| 4.5154308e+01|-1.197200e-01|-7.126500e-02| 1.5911045e+02| 1.5256748e-05| 8.5313974e+01|-8.859200e-02| 2.328300e-02| 2.9532123e+02| 2.0894642e-05| 1.3018573e+02|-9.571300e-02| 3.237400e-02| 2.1202428e+02
 5.5984645e-06| 4.5153982e+01|-1.314840e-01|-6.973400e-02| 1.5911098e+02| 1.6229839e-05| 8.5311176e+01|-6.038600e-02| 1.984200e-02| 2.9532119e+02| 2.4558890e-05| 1.3018424e+02|-7.185600e-02| 3.602700e-02| 2.1202397e+02
 1.4736687e-05| 4.5154253e+01|-1.033910e-01|-9.921500e-02| 1.5911042e+02| 1.5740779e-05| 8.5314050e+01|-3.892400e-02|-1.623500e-02| 2.9531786e+02| 1.9831489e-05| 1.3018513e+02|-6.490200e-02| 1.666000e-02| 2.1202324e+02
 6.3354415e-06| 4.5154246e+01|-9.171700e-02|-1.788010e-01| 1.5911106e+02| 1.2085740e-05| 8.5312823e+01|-1.881500e-02| 5.246000e-03| 2.9531907e+02| 1.6881088e-05| 1.3018391e+02|-6.040500e-02| 5.893000e-03| 2.1202375e+02
 1.5662705e-05| 4.5154388e+01|-9.920100e-02|-1.307680e-01| 1.5911019e+02| 1.3143889e-05| 8.5313552e+01|-7.232700e-02| 3.597100e-02| 2.9532099e+02| 1.7893702e-05| 1.3018584e+02|-9.071800e-02| 2.124600e-02| 2.1202299e+02
 2.3779348e-05| 4.5154268e+01|-1.230010e-01|-1.136710e-01| 1.5910987e+02| 1.5372811e-05| 8.5315654e+01|-6.192900e-02|-1.077130e-01| 2.9532007e+02| 1.7541885e-05| 1.3018697e+02|-7.763700e-02|-8.608500e-02| 2.1202346e+02
 7.2554703e-06| 4.5154459e+01|-7.225000e-02|-2.642420e-01| 1.5910912e+02| 9.3536815e-06| 8.5314817e+01| 4.605000e-02|-2.599030e-01| 2.9531911e+02| 1.0238429e-05| 1.3018404e+02| 2.170300e-02|-2.408780e-01| 2.1202310e+02
 9.5200912e-06| 4.5154237e+01|-1.217240e-01|-1.077370e-01| 1.5910989e+02| 1.3893159e-05| 8.5313606e+01|-9.921000e-03|-1.096180e-01| 2.9532160e+02| 1.6180937e-05| 1.3018446e+02|-4.028700e-02|-8.916000e-02| 2.1202412e+02
 1.6416909e-05| 4.5154203e+01|-1.101530e-01|-1.399650e-01| 1.5911022e+02| 1.2435538e-05| 8.5316199e+01| 5.512300e-02|-7.744300e-02| 2.9531893e+02| 1.4212808e-05| 1.3018483e+02| 1.148800e-02|-7.370900e-02| 2.1202455e+02
 1.2103752e-05| 4.5154424e+01|-7.332200e-02|-1.452810e-01| 1.5911021e+02| 1.3615060e-05| 8.5314222e+01| 2.532600e-02|-1.324020e-01| 2.9531737e+02| 1.5546543e-05| 1.3018459e+02|-5.093000e-03|-1.161560e-01| 2.1202358e+02
 4.4164588e-06| 4.5154338e+01|-7.671400e-02|-1.585920e-01| 1.5911108e+02| 1.2714574e-05| 8.5313060e+01| 6.150000e-02| 8.180200e-02| 2.9532060e+02| 1.4992969e-05| 1.3018358e+02| 1.718400e-02| 8.587000e-02| 2.1202257e+02
 9.1293020e-06| 4.5154265e+01|-9.472300e-02|-1.244990e-01| 1.5911052e+02| 1.3841986e-05| 8.5313316e+01| 4.928200e-02| 5.405000e-02| 2.9531982e+02| 1.7361038e-05| 1.3018453e+02|-6.532000e-03| 6.302100e-02| 2.1202276e+02
 1.2218147e-05| 4.5154646e+01|-7.559000e-02|-1.529860e-01| 1.5911023e+02| 1.4366970e-05| 8.5312395e+01|-1.103060e-01|-1.215500e-01| 2.9531720e+02| 1.8077105e-05| 1.3018552e+02|-1.160850e-01|-9.956600e-02| 2.1202235e+02
 1.9005321e-05| 4.5154347e+01|-8.135500e-02|-8.838200e-02| 1.5911109e+02| 1.7265468e-05| 8.5312150e+01|-3.648500e-02|-7.293500e-02| 2.9532037e+02| 2.5382409e-05| 1.3018590e+02|-6.612500e-02|-3.984800e-02| 2.1202378e+02
 1.2758743e-05| 4.5154243e+01|-1.030110e-01|-1.008280e-01| 1.5911030e+02| 1.4217701e-05| 8.5312567e+01| 8.079000e-03|-1.031470e-01| 2.9532302e+02| 2.1405404e-05| 1.3018456e+02|-2.701900e-02|-8.353200e-02| 2.1202417e+02
 1.3871997e-05| 4.5154226e+01|-1.067930e-01|-1.297330e-01| 1.5911128e+02| 1.3706644e-05| 8.5314436e+01|-4.070600e-02|-4.159200e-02| 2.9532002e+02| 1.7172946e-05| 1.3018498e+02|-7.178700e-02|-1.343200e-02| 2.1202352e+02
 1.5742684e-05| 4.5154150e+01|-7.625500e-02|-1.704430e-01| 1.5911190e+02| 1.3502084e-05| 8.5314986e+01| 6.707700e-02|-4.544800e-02| 2.9531520e+02| 1.9655153e-05| 1.3018480e+02| 2.148600e-02|-4.363700e-02| 2.1202363e+02
 7.2612880e-06| 4.5153806e+01|-1.295830e-01|-1.156740e-01| 1.5911064e+02| 1.3070616e-05| 8.5313883e+01| 1.180730e-01| 7.827100e-02| 2.9532121e+02| 1.6762400e-05| 1.3018432e+02| 8.628200e-02| 7.673700e-02| 2.1202297e+02
 5.2518952e-06| 4.5153704e+01|-1.474140e-01|-1.195980e-01| 1.5911044e+02| 1.1980132e-05| 8.5312862e+01| 1.237120e-01| 3.907300e-02| 2.9532366e+02| 1.6902542e-05| 1.3018410e+02| 9.429300e-02| 3.306400e-02| 2.1202342e+02
 6.3001898e-06| 4.5154150e+01|-1.082220e-01|-1.466800e-01| 1.5911089e+02| 1.2499061e-05| 8.5313965e+01| 7.624100e-02| 1.848500e-02| 2.9531884e+02| 1.4782375e-05| 1.3018369e+02| 2.708300e-02| 3.850700e-02| 2.1202415e+02
 1.3244382e-05| 4.5154260e+01|-9.944100e-02|-1.342120e-01| 1.5911051e+02| 1.4092664e-05| 8.5316029e+01| 6.703300e-02|-2.005000e-02| 2.9531472e+02| 1.3140927e-05| 1.3018457e+02| 1.740200e-02| 9.331000e-03| 2.1202367e+02
 1.5496253e-05| 4.5154020e+01|-1.300570e-01|-1.292860e-01| 1.5910958e+02| 1.1591214e-05| 8.5319031e+01| 1.292420e-01| 9.191900e-02| 2.9531957e+02| 9.3997215e-06| 1.3018495e+02| 9.490300e-02| 8.793600e-02| 2.1202261e+02
 1.2155072e-05| 4.5154242e+01|-7.732300e-02|-1.361760e-01| 1.5911019e+02| 1.2971106e-05| 8.5312788e+01| 8.198600e-02|-4.826000e-03| 2.9531956e+02| 2.2091463e-05| 1.3018428e+02| 4.483100e-02| 6.245000e-03| 2.1202398e+02
 2.6295454e-05| 4.5154661e+01|-6.812300e-02|-1.269840e-01| 1.5910981e+02| 1.3339228e-05| 8.5317257e+01| 3.408000e-03|-1.007920e-01| 2.9531491e+02| 1.1924944e-05| 1.3018632e+02|-3.569000e-02|-8.440700e-02| 2.1202289e+02
 1.1316914e-05| 4.5154139e+01|-7.412500e-02|-1.325340e-01| 1.5910906e+02| 1.3302613e-05| 8.5312831e+01| 1.080330e-01|-1.546550e-01| 2.9532443e+02| 2.1170125e-05| 1.3018427e+02| 8.103400e-02|-1.425000e-01| 2.1202320e+02
 4.6200513e-06| 4.5154149e+01|-8.777700e-02|-1.900670e-01| 1.5911153e+02| 1.2512120e-05| 8.5313298e+01| 3.610800e-02|-1.607600e-01| 2.9532040e+02| 1.5535436e-05| 1.3018356e+02| 7.594000e-03|-1.443800e-01| 2.1202342e+02
 1.1491154e-05| 4.5153868e+01|-1.201120e-01|-1.472460e-01| 1.5911046e+02| 1.3127829e-05| 8.5314079e+01| 7.624200e-02|-9.790500e-02| 2.9532292e+02| 1.9093079e-05| 1.3018462e+02| 4.163700e-02|-9.327900e-02| 2.1202344e+02
 4.4237121e-06| 4.5154304e+01|-1.026440e-01|-8.194000e-02| 1.5911015e+02| 1.4742144e-05| 8.5312145e+01| 4.947200e-02| 6.488000e-03| 2.9532003e+02| 1.8709522e-05| 1.3018408e+02|-2.511800e-02| 3.460800e-02| 2.1202278e+02
 1.3764190e-05| 4.5154120e+01|-1.228140e-01|-1.336720e-01| 1.5911010e+02| 1.2632856e-05| 8.5315486e+01| 4.178700e-02| 5.500300e-02| 2.9532246e+02| 1.5366116e-05| 1.3018443e+02|-1.592700e-02| 6.301200e-02| 2.1202424e+02
 2.7157877e-05| 4.5154133e+01|-1.238980e-01|-9.204300e-02| 1.5911074e+02| 1.4546928e-05| 8.5317292e+01|-1.519300e-02| 5.876600e-02| 2.9531944e+02| 1.8303133e-05| 1.3018643e+02|-5.253100e-02| 5.320800e-02| 2.1202374e+02
 2.1622768e-05| 4.5154481e+01|-6.991900e-02|-1.107620e-01| 1.5911030e+02| 1.4005332e-05| 8.5314077e+01| 8.563000e-03| 1.489800e-02| 2.9531925e+02| 1.9820346e-05| 1.3018558e+02|-5.516900e-02| 2.065600e-02| 2.1202305e+02
 9.5127928e-06| 4.5154676e+01|-2.449100e-02|-1.526500e-01| 1.5910994e+02| 1.4811641e-05| 8.5313066e+01| 6.155800e-02|-2.240800e-02| 2.9532063e+02| 1.6022309e-05| 1.3018460e+02|-3.770000e-03|-1.746000e-03| 2.1202226e+02
